date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Rochford,E07000075,Total,83287,64.86,63.38,0.2,0.27,0.31,0.36,0.01,0.34,27.89,7.25
2011,Tendring,E07000076,Total,138048,65.18,63.9,0.23,0.16,0.14,0.29,0.03,0.42,27.15,7.67
2011,Uttlesford,E07000077,Total,79443,66.36,64.4,0.48,0.24,0.29,0.54,0.06,0.36,26.2,7.44
2011,Broxbourne,E07000095,Total,93609,69.23,65.01,0.3,0.76,0.34,2.44,0.1,0.29,23.82,6.95
2011,Dacorum,E07000096,Total,144847,63.03,58.15,0.43,1.32,0.47,2.15,0.12,0.39,29.52,7.45
2011,East Hertfordshire,E07000242,Total,137687,64.99,62.75,0.32,0.45,0.33,0.72,0.12,0.32,27.75,7.26
2011,Hertsmere,E07000098,Total,100031,73.02,51.71,0.59,3.17,14.29,2.4,0.16,0.69,19.17,7.81
2011,North Hertfordshire,E07000099,Total,127114,62.19,56.97,0.49,0.98,0.21,1.14,1.93,0.47,30.41,7.4
2011,St Albans,E07000240,Total,140664,66.79,59.71,0.44,1.26,1.18,3.67,0.22,0.31,25.79,7.42
2011,Stevenage,E07000243,Total,83957,59.21,54.44,0.53,1.19,0.18,1.97,0.36,0.55,34.07,6.72
2011,Three Rivers,E07000102,Total,87317,70.15,59.93,0.4,4.54,1.85,2.23,0.53,0.68,22.83,7.02
2011,Watford,E07000103,Total,90301,71.85,54.14,0.73,4.82,1.13,9.86,0.63,0.54,21.41,6.74
2011,Welwyn Hatfield,E07000241,Total,110535,65.02,57.54,0.81,2.51,0.8,2.54,0.34,0.47,27.87,7.11
2011,Breckland,E07000143,Total,130491,65.05,63.8,0.21,0.11,0.11,0.31,0.05,0.46,27.57,7.38
2011,Broadland,E07000144,Total,124646,64.67,63.33,0.27,0.2,0.09,0.3,0.06,0.41,27.96,7.38
2011,Great Yarmouth,E07000145,Total,97277,62.54,61.05,0.24,0.26,0.11,0.53,0.01,0.34,30.25,7.21
2011,King's Lynn and West Norfolk,E07000146,Total,147451,67.78,66.37,0.28,0.23,0.09,0.37,0.06,0.38,24.78,7.44
2011,North Norfolk,E07000147,Total,101499,67.16,65.98,0.28,0.05,0.12,0.16,0.02,0.54,25.21,7.64
2011,Norwich,E07000148,Total,132512,49.37,44.91,0.74,0.77,0.18,1.97,0.13,0.67,42.46,8.17
2011,South Norfolk,E07000149,Total,124012,63.63,62.28,0.29,0.19,0.1,0.32,0.04,0.4,28.71,7.67
2011,Babergh,E07000200,Total,87740,64.28,63.22,0.24,0.1,0.13,0.22,0.01,0.35,28.4,7.33
2011,Forest Heath,E07000201,Total,59748,65.83,63.98,0.32,0.26,0.14,0.61,0.07,0.46,26.61,7.56
2011,Ipswich,E07000202,Total,133384,57.76,53.08,0.37,0.83,0.06,2.68,0.26,0.49,35.0,7.23
2011,Mid Suffolk,E07000203,Total,96731,64.68,63.75,0.22,0.11,0.08,0.16,0.02,0.34,27.55,7.77
2011,St Edmundsbury,E07000204,Total,111008,63.81,62.28,0.28,0.23,0.11,0.54,0.05,0.32,28.93,7.26
2011,Suffolk Coastal,E07000205,Total,124298,64.77,63.07,0.3,0.35,0.11,0.43,0.1,0.4,27.63,7.6
2011,Waveney,E07000206,Total,115254,61.92,60.68,0.27,0.11,0.05,0.34,0.03,0.45,30.64,7.44
2011,Camden,E09000007,Total,220338,53.98,33.96,1.27,1.43,4.46,12.09,0.21,0.58,25.47,20.55
2011,City of London,E09000001,Total,7375,56.98,45.34,1.25,1.97,2.25,5.55,0.24,0.38,34.2,8.83
