"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Lincoln","E07000138","Total",93541,56419,54265,303,335,63,902,73,478,30456,6666
"2011","North Kesteven","E07000139","Total",107766,76548,75495,153,168,61,250,53,368,23583,7635
"2011","South Holland","E07000140","Total",88270,64736,63861,119,100,69,258,69,260,17146,6388
"2011","South Kesteven","E07000141","Total",133788,94830,93192,277,394,101,358,74,434,29665,9293
"2011","West Lindsey","E07000142","Total",89250,63686,62739,141,172,31,212,88,303,19439,6125
"2011","Corby","E07000150","Total",61255,37128,36111,126,190,44,382,125,150,20376,3751
"2011","Daventry","E07000151","Total",77843,51864,50346,291,293,71,439,153,271,20701,5278
"2011","East Northamptonshire","E07000152","Total",86765,54440,53187,186,277,83,232,114,361,26354,5971
"2011","Kettering","E07000153","Total",93475,58401,55196,263,759,66,723,977,417,28768,6306
"2011","Northampton","E07000154","Total",212069,135433,119937,924,3393,273,8806,1063,1037,62404,14232
"2011","South Northamptonshire","E07000155","Total",85189,57367,56017,183,357,100,290,175,245,21758,6064
"2011","Wellingborough","E07000156","Total",75356,48270,43471,221,2745,42,1232,158,401,22018,5068
"2011","Ashfield","E07000170","Total",119497,70924,69496,211,218,16,375,178,430,40414,8159
"2011","Bassetlaw","E07000171","Total",112863,81601,79935,189,248,48,701,119,361,23558,7704
"2011","Broxtowe","E07000172","Total",109487,66346,61975,413,842,143,1636,921,416,35217,7924
"2011","Gedling","E07000173","Total",113543,68401,64830,308,531,92,1535,724,381,37123,8019
"2011","Mansfield","E07000174","Total",104466,65958,64399,193,271,34,563,165,333,31472,7036
"2011","Newark and Sherwood","E07000175","Total",114817,77299,75869,226,194,62,456,123,369,29435,8083
"2011","Rushcliffe","E07000176","Total",111129,70306,65490,320,1176,322,1697,902,399,32919,7904
"2011","Herefordshire, County of","E06000019","Total",183477,126661,124403,562,228,131,364,80,893,41766,15050
"2011","Shropshire","E06000051","Total",306129,213923,210268,792,378,127,989,256,1113,69725,22481
"2011","Stoke-on-Trent","E06000021","Total",249008,170329,151624,760,1384,66,14993,579,923,62737,15942
"2011","Telford and Wrekin","E06000020","Total",166641,110069,102892,398,872,78,3019,2118,692,45599,10973
"2011","Cannock Chase","E07000192","Total",97462,68471,67392,166,128,9,219,274,283,23066,5925
"2011","East Staffordshire","E07000193","Total",113583,81053,72890,284,318,42,6815,336,368,25037,7493
"2011","Lichfield","E07000194","Total",100654,71139,69276,196,303,69,448,540,307,23113,6402
"2011","Newcastle-under-Lyme","E07000195","Total",123871,84416,81353,455,519,71,1393,215,410,31124,8331
"2011","South Staffordshire","E07000196","Total",108131,81602,79301,182,416,15,364,1027,297,19896,6633
"2011","Stafford","E07000197","Total",130869,92347,88799,457,850,64,1151,495,531,29868,8654
"2011","Staffordshire Moorlands","E07000198","Total",97106,71513,70709,149,72,20,192,47,324,19018,6575
"2011","Tamworth","E07000199","Total",76813,49586,48632,128,167,9,235,152,263,22540,4687
"2011","North Warwickshire","E07000218","Total",62014,44426,43591,93,151,12,110,239,230,13589,3999
"2011","Nuneaton and Bedworth","E07000219","Total",125252,87548,79627,425,1374,12,2895,2739,476,30123,7581
"2011","Rugby","E07000220","Total",100075,68941,63791,369,2291,63,1236,840,351,24281,6853
"2011","Stratford-on-Avon","E07000221","Total",120485,86365,84697,325,250,150,280,243,420,25556,8564
"2011","Warwick","E07000222","Total",137648,89810,80185,521,1633,268,1299,5373,531,37859,9979
"2011","Birmingham","E08000025","Total",1073045,796138,494358,4780,22362,2205,234411,32376,5646,206821,70086
"2011","Coventry","E08000026","Total",316960,223737,170090,1067,11152,210,23665,15912,1641,72896,20327
"2011","Dudley","E08000027","Total",312925,224590,204320,657,1908,77,12902,3694,1032,68835,19500
"2011","Sandwell","E08000028","Total",308063,231613,170075,654,6810,73,25251,26934,1816,57716,18734
"2011","Solihull","E08000029","Total",206674,149359,135572,430,3684,353,5247,3504,569,44187,13128
"2011","Walsall","E08000030","Total",269323,199273,158971,516,4560,54,22146,11606,1420,53876,16174
"2011","Wolverhampton","E08000031","Total",249470,183597,138394,1015,9292,88,9062,22689,3057,49821,16052
"2011","Bromsgrove","E07000234","Total",93637,66506,64508,191,323,91,502,609,282,20645,6486
"2011","Malvern Hills","E07000235","Total",74631,51411,50399,189,111,59,197,75,381,17805,5415
"2011","Redditch","E07000236","Total",84214,57228,53434,154,206,52,2870,228,284,21712,5274
"2011","Worcester","E07000237","Total",98768,66830,62911,307,249,32,2847,139,345,25419,6519
"2011","Wychavon","E07000238","Total",116944,85209,83728,230,145,83,369,226,428,23678,8057
"2011","Wyre Forest","E07000239","Total",97975,68764,67260,197,111,38,681,136,341,22602,6609
"2011","Bedford","E06000055","Total",157479,109898,93346,509,2420,171,8610,3336,1506,37229,10352
"2011","Central Bedfordshire","E06000056","Total",254381,164741,158236,779,1668,499,1931,746,882,72355,17285
"2011","Luton","E06000032","Total",203201,157234,96271,652,6749,326,49991,2347,898,33594,12373
"2011","Peterborough","E06000031","Total",183631,126155,104202,463,2320,144,17251,1184,591,45183,12293
"2011","Southend-on-Sea","E06000033","Total",173658,105233,96755,801,1161,2150,3309,149,908,54880,13545
"2011","Thurrock","E06000034","Total",157705,106749,99891,615,1178,221,3164,1224,456,41061,9895
"2011","Cambridge","E07000008","Total",123867,65828,55514,1573,2058,870,4897,213,703,46839,11200
"2011","East Cambridgeshire","E07000009","Total",83818,53622,52243,285,149,122,369,117,337,23565,6631
"2011","Fenland","E07000010","Total",95262,64578,63242,182,193,108,395,113,345,23846,6838
"2011","Huntingdonshire","E07000011","Total",169508,107217,103070,524,619,190,1865,266,683,50025,12266
"2011","South Cambridgeshire","E07000012","Total",148755,91866,87463,700,1123,362,1464,186,568,44741,12148
"2011","Basildon","E07000066","Total",174497,109699,105158,526,1238,424,1622,148,583,52923,11875
"2011","Braintree","E07000067","Total",147084,92474,90114,355,445,199,685,93,583,44111,10499
"2011","Brentwood","E07000068","Total",73601,52829,50502,300,776,272,649,111,219,15556,5216
"2011","Castle Point","E07000069","Total",88011,57764,56372,214,269,183,378,38,310,23967,6280
"2011","Chelmsford","E07000070","Total",168310,109092,104256,550,1213,330,2012,160,571,47403,11815
"2011","Colchester","E07000071","Total",173074,106132,99879,982,1274,264,2762,182,789,54354,12588
"2011","Epping Forest","E07000072","Total",124659,87248,77053,416,1745,3972,2377,1253,432,28061,9350
"2011","Harlow","E07000073","Total",81944,48733,45365,333,635,237,1745,79,339,27789,5422
"2011","Maldon","E07000074","Total",61629,40755,40046,152,60,99,171,28,199,16365,4509
"2011","Rochford","E07000075","Total",83287,54021,52787,165,226,255,296,12,280,23228,6038
"2011","Tendring","E07000076","Total",138048,89978,88216,319,223,200,400,44,576,37477,10593
"2011","Uttlesford","E07000077","Total",79443,52719,51158,381,191,227,429,49,284,20813,5911
"2011","Broxbourne","E07000095","Total",93609,64808,60856,277,710,316,2287,90,272,22293,6508
"2011","Dacorum","E07000096","Total",144847,91295,84228,622,1905,678,3116,174,572,42758,10794
"2011","East Hertfordshire","E07000242","Total",137687,89488,86393,435,616,454,989,161,440,38205,9994
"2011","Hertsmere","E07000098","Total",100031,73038,51724,591,3172,14293,2402,164,692,19176,7817
"2011","North Hertfordshire","E07000099","Total",127114,79047,72415,617,1246,270,1453,2447,599,38661,9406
"2011","St Albans","E07000240","Total",140664,93949,83988,615,1777,1664,5167,303,435,36278,10437
"2011","Stevenage","E07000243","Total",83957,49707,45705,442,996,147,1654,303,460,28606,5644
"2011","Three Rivers","E07000102","Total",87317,61250,52330,345,3963,1611,1947,464,590,19933,6134
"2011","Watford","E07000103","Total",90301,64881,48891,659,4348,1023,8905,566,489,19330,6090
"2011","Welwyn Hatfield","E07000241","Total",110535,71871,63599,899,2775,889,2810,376,523,30806,7858
"2011","Breckland","E07000143","Total",130491,84884,83252,277,139,141,409,63,603,35977,9630
"2011","Broadland","E07000144","Total",124646,80606,78938,342,252,117,377,72,508,34845,9195
"2011","Great Yarmouth","E07000145","Total",97277,60835,59383,237,255,108,518,6,328,29430,7012
"2011","King's Lynn and West Norfolk","E07000146","Total",147451,99949,97868,417,346,127,544,82,565,36533,10969
"2011","North Norfolk","E07000147","Total",101499,68162,66973,286,51,123,158,21,550,25586,7751
"2011","Norwich","E07000148","Total",132512,65417,59515,978,1017,241,2612,168,886,56268,10827
"2011","South Norfolk","E07000149","Total",124012,78904,77234,364,235,126,403,49,493,35601,9507
"2011","Babergh","E07000200","Total",87740,56398,55465,214,85,116,196,11,311,24914,6428
"2011","Forest Heath","E07000201","Total",59748,39334,38228,190,157,81,364,40,274,15897,4517
"2011","Ipswich","E07000202","Total",133384,77048,70797,495,1102,83,3577,343,651,46687,9649
"2011","Mid Suffolk","E07000203","Total",96731,62564,61670,209,105,78,152,17,333,26652,7515
"2011","St Edmundsbury","E07000204","Total",111008,70839,69136,313,259,118,602,61,350,32111,8058
